timestamp,city,aqi,pm25,temperature,humidity,pressure,wind_speed,wind_deg,clouds
2026-08-08T10:38:55.200781+00:00,Lahore,55,14.2,30.31,65,1002,4,75,68
2026-08-08T10:42:08.799539+00:00,Lahore,55,14.2,30.31,65,1002,4,75,68
2026-08-08T11:34:48.341405+00:00,Lahore,55,14.2,30.72,64,1001,3.82,75,74
2026-08-08T13:01:06.410721+00:00,Lahore,39,9.31,30.44,64,1000,2.48,82,98
2026-08-08T14:37:57.772685+00:00,Lahore,78,25.03,29.54,70,1001,2.39,96,69
2026-08-08T15:35:53.720980+00:00,Lahore,78,25.03,29.25,71,1001,2.42,111,77
2026-08-08T16:41:15.715116+00:00,Lahore,78,25.03,29.13,71,1002,2.11,120,64
2026-08-08T17:36:32.435115+00:00,Lahore,78,25.03,29.1,71,1002,2.11,120,64
2026-08-08T18:47:04.728474+00:00,Lahore,78,25.03,28.11,73,1002,2.5,102,11
2026-08-08T19:35:26.221481+00:00,Lahore,98,34.4,28,73,1002,2.44,102,6
2026-08-08T20:37:21.905806+00:00,Lahore,91,31.12,28,73,1002,2.44,102,6
2026-08-08T21:36:25.862098+00:00,Lahore,91,31.12,26.71,80,1002,2.69,110,4
2026-08-08T22:36:09.409991+00:00,Lahore,110,39.23,26.4,83,1002,1.82,101,9
2026-08-08T23:34:46.105614+00:00,Lahore,110,39.23,26.4,84,1003,1.65,89,20
2026-08-09T02:10:32.966470+00:00,Lahore,110,39.23,26.98,82,1003,1.57,84,40
