timestamp,pm25,pm10,co,so2,no2,o3,temperature,humidity,pressure,wind_speed,clouds,aqi,day,month,day_of_week,doy_sin,doy_cos,aqi_lag_1d,aqi_lag_2d,aqi_lag_3d,aqi_lag_7d,pm25_lag_1d,pm25_lag_2d,pm25_lag_3d,pm25_lag_7d,aqi_rolling_mean_3d,aqi_rolling_mean_7d,aqi_rolling_mean_14d,pm25_rolling_mean_3d,pm25_rolling_mean_7d,pm25_rolling_mean_14d,wind_speed_roll_3d,temperature_roll_3d,humidity_roll_3d,pressure_roll_3d,wind_speed_roll_7d,temperature_roll_7d,humidity_roll_7d,aqi_change_rate,target_aqi_day1,target_aqi_day2,target_aqi_day3
2022-08-20,38.91666666666666,62.57083333333333,829.625,17.108333333333334,36.5875,91.54166666666669,29.02916666666667,74.20833333333333,977.6208333333334,7.758333333333333,38.5,109.0,20,8,5,-0.7508642533989489,-0.6604565640279754,114.0,119.0,84.0,129.0,40.80833333333333,42.79583333333333,27.7375,46.7375,114.0,106.85714285714286,109.625,40.84027777777778,37.75892857142857,38.88125,7.908333333333334,29.58888888888889,73.61111111111111,976.8291666666668,9.175,29.173809523809524,76.875,-5.0,157.0,155.0,127.0
2022-08-21,67.81666666666666,109.4,1967.7916666666667,30.9625,57.645833333333336,76.66666666666667,29.65833333333333,75.45833333333333,976.1541666666668,4.604166666666667,46.208333333333336,157.0,21,8,6,-0.7621140503891487,-0.6474427960827475,109.0,114.0,119.0,110.0,38.91666666666666,40.80833333333333,42.79583333333333,39.208333333333336,126.66666666666669,113.57142857142856,114.88888888888889,49.18055555555555,41.84583333333334,42.096296296296295,7.377777777777777,29.561111111111117,73.43055555555554,976.7402777777778,8.420238095238096,29.12142857142857,76.41071428571429,48.0,155.0,127.0,81.0
2022-08-22,63.72916666666666,100.50416666666666,1499.9583333333333,23.383333333333336,60.67916666666667,88.20833333333333,30.7375,68.45833333333333,974.9208333333332,4.379166666666666,8.583333333333334,155.0,22,8,0,-0.7731383255706026,-0.6342374393978054,157.0,109.0,114.0,97.0,67.81666666666666,38.91666666666666,40.80833333333333,33.770833333333336,140.33333333333334,121.85714285714286,118.9,56.820833333333326,46.12559523809523,44.25958333333333,5.580555555555556,29.808333333333334,72.70833333333333,976.2319444444444,7.645238095238096,29.66190476190476,73.70833333333333,-2.0,127.0,81.0,112.0
2022-08-23,46.05416666666667,68.05416666666666,806.875,16.229166666666668,37.72083333333333,97.45833333333331,31.554166666666664,67.95833333333333,977.1708333333332,8.604166666666666,20.625,127.0,23,8,1,-0.7839338166829201,-0.620844401650647,155.0,157.0,109.0,115.0,63.72916666666666,67.81666666666666,38.91666666666666,41.075,146.33333333333334,123.57142857142856,119.63636363636364,59.2,46.83690476190476,44.42272727272727,5.8625,30.649999999999995,70.625,976.0819444444444,7.8690476190476195,29.997619047619047,72.61309523809523,-28.0,81.0,112.0,155.0
2022-08-24,26.525,45.2,412.5416666666667,13.804166666666667,19.02083333333333,82.04166666666667,29.3,74.95833333333333,979.825,14.479166666666666,34.416666666666664,81.0,24,8,2,-0.7944973291665992,-0.6072676460566135,127.0,155.0,157.0,84.0,46.05416666666667,63.72916666666666,67.81666666666666,27.7375,121.0,123.14285714285714,116.41666666666669,45.43611111111111,46.66369047619048,42.93125,9.154166666666669,30.530555555555555,70.45833333333333,977.3055555555557,7.970238095238095,30.002380952380957,72.52380952380952,-46.0,112.0,155.0,157.0
2022-08-25,39.99166666666667,61.4625,804.5,15.975,35.59583333333333,79.66666666666667,29.23333333333333,73.54166666666667,979.0791666666668,8.674999999999999,41.083333333333336,112.0,25,8,3,-0.8048257371083452,-0.593511190196115,81.0,127.0,155.0,119.0,26.525,46.05416666666667,63.72916666666666,42.79583333333333,106.66666666666669,122.14285714285714,116.07692307692308,37.52361111111112,46.26309523809524,42.70512820512821,10.58611111111111,30.02916666666667,72.15277777777777,978.6916666666666,8.324404761904761,29.929761904761904,72.17261904761905,31.0,155.0,157.0,125.0
2022-08-26,62.825,98.64583333333331,1875.3333333333333,29.0125,49.99583333333334,81.0,29.7625,71.04166666666667,978.775,6.358333333333333,18.70833333333333,155.0,26,8,4,-0.8149159841660791,-0.5795791048257612,112.0,81.0,127.0,114.0,39.99166666666667,26.525,46.05416666666667,40.80833333333333,116.0,128.0,118.85714285714286,43.11388888888889,49.40833333333334,44.1422619047619,9.8375,29.431944444444444,73.18055555555556,979.2263888888888,7.836904761904761,29.89642857142857,72.23214285714286,43.0,157.0,125.0,98.0
2022-08-27,66.75833333333334,103.55833333333334,1917.7083333333333,30.741666666666664,67.41666666666667,89.08333333333333,29.55,73.20833333333333,977.7041666666668,7.270833333333333,30.875,157.0,27,8,5,-0.8247650844733614,-0.5654755126737576,155.0,112.0,81.0,109.0,62.825,39.99166666666667,26.525,38.91666666666666,141.33333333333334,134.85714285714286,120.85714285714286,56.525,53.385714285714286,45.57232142857144,7.434722222222223,29.51527777777778,72.59722222222223,978.5194444444444,7.767261904761904,29.97083333333333,72.08928571428571,2.0,125.0,98.0,162.0
2022-08-28,45.145833333333336,69.94166666666666,1046.4583333333333,17.8875,47.9875,81.25,29.366666666666664,73.29166666666667,978.1625,6.804166666666667,39.66666666666666,125.0,28,8,6,-0.8343701235229537,-0.5512045872199277,157.0,155.0,112.0,157.0,66.75833333333334,62.825,39.99166666666667,67.81666666666666,145.66666666666666,130.28571428571428,121.92857142857144,58.24305555555555,50.14702380952381,45.996428571428574,6.811111111111111,29.559722222222224,72.51388888888889,978.2138888888888,8.081547619047619,29.929166666666667,71.7797619047619,-32.0,98.0,162.0,162.0
2022-08-29,34.21666666666667,52.73333333333333,641.0416666666666,12.883333333333333,28.416666666666668,101.16666666666669,27.9,82.75,982.0708333333332,6.245833333333334,48.41666666666666,98.0,29,8,0,-0.8437282590292712,-0.5367705514607103,125.0,157.0,155.0,155.0,45.145833333333336,66.75833333333334,62.825,63.72916666666666,126.66666666666669,122.14285714285714,122.0,48.706944444444446,45.930952380952384,46.0282738095238,6.773611111111111,28.938888888888886,76.41666666666667,979.3125,8.348214285714286,29.52380952380953,73.82142857142857,-27.0,162.0,162.0,160.0
